CP_Weight(kg),KS_Avail(m/s),KS_Req(m/s),KS_Pass,DSPS_Avail(m/s),DSPS_Req(m/s),DSPS_Pass,Mission_Success
82.0,4386.19,3483.83,PASS,1072.38,3619.25,FAIL,FAIL
83.0,4383.17,3483.83,PASS,1068.98,3619.25,FAIL,FAIL
84.0,4380.16,3483.83,PASS,1065.6,3619.25,FAIL,FAIL
85.0,4377.15,3483.83,PASS,1062.25,3619.25,FAIL,FAIL
86.0,4374.15,3483.83,PASS,1058.91,3619.25,FAIL,FAIL
87.0,4371.15,3483.83,PASS,1055.6,3619.25,FAIL,FAIL
88.0,4368.16,3483.83,PASS,1052.31,3619.25,FAIL,FAIL
89.0,4365.17,3483.83,PASS,1049.03,3619.25,FAIL,FAIL
90.0,4362.19,3483.83,PASS,1045.78,3619.25,FAIL,FAIL
91.0,4359.21,3483.83,PASS,1042.55,3619.25,FAIL,FAIL
92.0,4356.24,3483.83,PASS,1039.34,3619.25,FAIL,FAIL
93.0,4353.27,3483.83,PASS,1036.15,3619.25,FAIL,FAIL
94.0,4350.3,3483.83,PASS,1032.98,3619.25,FAIL,FAIL
95.0,4347.34,3483.83,PASS,1029.83,3619.25,FAIL,FAIL
96.0,4344.38,3483.83,PASS,1026.7,3619.25,FAIL,FAIL
97.0,4341.43,3483.83,PASS,1023.58,3619.25,FAIL,FAIL
98.0,4338.49,3483.83,PASS,1020.49,3619.25,FAIL,FAIL
99.0,4335.54,3483.83,PASS,1017.41,3619.25,FAIL,FAIL
100.0,4332.6,3483.83,PASS,1014.36,3619.25,FAIL,FAIL
101.0,4329.67,3483.83,PASS,1011.32,3619.25,FAIL,FAIL
102.0,4326.74,3483.83,PASS,1008.3,3619.25,FAIL,FAIL
103.0,4323.82,3483.83,PASS,1005.3,3619.25,FAIL,FAIL
104.0,4320.9,3483.83,PASS,1002.32,3619.25,FAIL,FAIL
105.0,4317.98,3483.83,PASS,999.35,3619.25,FAIL,FAIL
106.0,4315.07,3483.83,PASS,996.4,3619.25,FAIL,FAIL
107.0,4312.16,3483.83,PASS,993.47,3619.25,FAIL,FAIL
108.0,4309.26,3483.83,PASS,990.56,3619.25,FAIL,FAIL
109.0,4306.36,3483.83,PASS,987.66,3619.25,FAIL,FAIL
110.0,4303.47,3483.83,PASS,984.78,3619.25,FAIL,FAIL
111.0,4300.58,3483.83,PASS,981.92,3619.25,FAIL,FAIL
112.0,4297.69,3483.83,PASS,979.08,3619.25,FAIL,FAIL
113.0,4294.81,3483.83,PASS,976.25,3619.25,FAIL,FAIL
114.0,4291.93,3483.83,PASS,973.44,3619.25,FAIL,FAIL
115.0,4289.06,3483.83,PASS,970.64,3619.25,FAIL,FAIL
116.0,4286.19,3483.83,PASS,967.86,3619.25,FAIL,FAIL
117.0,4283.33,3483.83,PASS,965.1,3619.25,FAIL,FAIL
118.0,4280.47,3483.83,PASS,962.35,3619.25,FAIL,FAIL
119.0,4277.61,3483.83,PASS,959.62,3619.25,FAIL,FAIL
120.0,4274.76,3483.83,PASS,956.9,3619.25,FAIL,FAIL
121.0,4271.92,3483.83,PASS,954.2,3619.25,FAIL,FAIL
122.0,4269.07,3483.83,PASS,951.52,3619.25,FAIL,FAIL
123.0,4266.23,3483.83,PASS,948.85,3619.25,FAIL,FAIL
124.0,4263.4,3483.83,PASS,946.19,3619.25,FAIL,FAIL
125.0,4260.57,3483.83,PASS,943.55,3619.25,FAIL,FAIL
126.0,4257.75,3483.83,PASS,940.93,3619.25,FAIL,FAIL
127.0,4254.92,3483.83,PASS,938.32,3619.25,FAIL,FAIL
128.0,4252.11,3483.83,PASS,935.72,3619.25,FAIL,FAIL
129.0,4249.29,3483.83,PASS,933.14,3619.25,FAIL,FAIL
130.0,4246.48,3483.83,PASS,930.57,3619.25,FAIL,FAIL
131.0,4243.68,3483.83,PASS,928.02,3619.25,FAIL,FAIL
132.0,4240.88,3483.83,PASS,925.48,3619.25,FAIL,FAIL
133.0,4238.08,3483.83,PASS,922.95,3619.25,FAIL,FAIL
134.0,4235.29,3483.83,PASS,920.44,3619.25,FAIL,FAIL
135.0,4232.5,3483.83,PASS,917.94,3619.25,FAIL,FAIL
136.0,4229.72,3483.83,PASS,915.46,3619.25,FAIL,FAIL
137.0,4226.94,3483.83,PASS,912.99,3619.25,FAIL,FAIL
138.0,4224.16,3483.83,PASS,910.53,3619.25,FAIL,FAIL
139.0,4221.39,3483.83,PASS,908.09,3619.25,FAIL,FAIL
140.0,4218.62,3483.83,PASS,905.66,3619.25,FAIL,FAIL
141.0,4215.86,3483.83,PASS,903.24,3619.25,FAIL,FAIL
142.0,4213.1,3483.83,PASS,900.84,3619.25,FAIL,FAIL
143.0,4210.34,3483.83,PASS,898.45,3619.25,FAIL,FAIL
144.0,4207.59,3483.83,PASS,896.07,3619.25,FAIL,FAIL
145.0,4204.84,3483.83,PASS,893.7,3619.25,FAIL,FAIL
146.0,4202.1,3483.83,PASS,891.35,3619.25,FAIL,FAIL
147.0,4199.36,3483.83,PASS,889.01,3619.25,FAIL,FAIL
148.0,4196.62,3483.83,PASS,886.68,3619.25,FAIL,FAIL
149.0,4193.89,3483.83,PASS,884.36,3619.25,FAIL,FAIL
150.0,4191.16,3483.83,PASS,882.06,3619.25,FAIL,FAIL
151.0,4188.44,3483.83,PASS,879.77,3619.25,FAIL,FAIL
152.0,4185.72,3483.83,PASS,877.49,3619.25,FAIL,FAIL
153.0,4183.0,3483.83,PASS,875.22,3619.25,FAIL,FAIL
154.0,4180.29,3483.83,PASS,872.96,3619.25,FAIL,FAIL
155.0,4177.58,3483.83,PASS,870.72,3619.25,FAIL,FAIL
156.0,4174.88,3483.83,PASS,868.48,3619.25,FAIL,FAIL
157.0,4172.18,3483.83,PASS,866.26,3619.25,FAIL,FAIL
158.0,4169.48,3483.83,PASS,864.05,3619.25,FAIL,FAIL
159.0,4166.79,3483.83,PASS,861.85,3619.25,FAIL,FAIL
160.0,4164.1,3483.83,PASS,859.67,3619.25,FAIL,FAIL
161.0,4161.41,3483.83,PASS,857.49,3619.25,FAIL,FAIL
162.0,4158.73,3483.83,PASS,855.32,3619.25,FAIL,FAIL
163.0,4156.06,3483.83,PASS,853.17,3619.25,FAIL,FAIL
164.0,4153.38,3483.83,PASS,851.03,3619.25,FAIL,FAIL
165.0,4150.71,3483.83,PASS,848.89,3619.25,FAIL,FAIL
166.0,4148.05,3483.83,PASS,846.77,3619.25,FAIL,FAIL
167.0,4145.39,3483.83,PASS,844.66,3619.25,FAIL,FAIL
168.0,4142.73,3483.83,PASS,842.56,3619.25,FAIL,FAIL
169.0,4140.07,3483.83,PASS,840.47,3619.25,FAIL,FAIL
170.0,4137.42,3483.83,PASS,838.39,3619.25,FAIL,FAIL
171.0,4134.78,3483.83,PASS,836.32,3619.25,FAIL,FAIL
172.0,4132.13,3483.83,PASS,834.26,3619.25,FAIL,FAIL
173.0,4129.49,3483.83,PASS,832.21,3619.25,FAIL,FAIL
174.0,4126.86,3483.83,PASS,830.17,3619.25,FAIL,FAIL
175.0,4124.23,3483.83,PASS,828.14,3619.25,FAIL,FAIL
176.0,4121.6,3483.83,PASS,826.12,3619.25,FAIL,FAIL
177.0,4118.97,3483.83,PASS,824.12,3619.25,FAIL,FAIL
178.0,4116.35,3483.83,PASS,822.12,3619.25,FAIL,FAIL
179.0,4113.74,3483.83,PASS,820.13,3619.25,FAIL,FAIL
180.0,4111.12,3483.83,PASS,818.15,3619.25,FAIL,FAIL
181.0,4108.51,3483.83,PASS,816.18,3619.25,FAIL,FAIL
182.0,4105.91,3483.83,PASS,814.22,3619.25,FAIL,FAIL
183.0,4103.3,3483.83,PASS,812.27,3619.25,FAIL,FAIL
184.0,4100.71,3483.83,PASS,810.32,3619.25,FAIL,FAIL
185.0,4098.11,3483.83,PASS,808.39,3619.25,FAIL,FAIL
186.0,4095.52,3483.83,PASS,806.47,3619.25,FAIL,FAIL
187.0,4092.93,3483.83,PASS,804.55,3619.25,FAIL,FAIL
188.0,4090.35,3483.83,PASS,802.65,3619.25,FAIL,FAIL
189.0,4087.77,3483.83,PASS,800.75,3619.25,FAIL,FAIL
190.0,4085.19,3483.83,PASS,798.87,3619.25,FAIL,FAIL
191.0,4082.62,3483.83,PASS,796.99,3619.25,FAIL,FAIL
192.0,4080.05,3483.83,PASS,795.12,3619.25,FAIL,FAIL
193.0,4077.48,3483.83,PASS,793.26,3619.25,FAIL,FAIL
194.0,4074.92,3483.83,PASS,791.41,3619.25,FAIL,FAIL
195.0,4072.36,3483.83,PASS,789.56,3619.25,FAIL,FAIL
196.0,4069.81,3483.83,PASS,787.73,3619.25,FAIL,FAIL
197.0,4067.25,3483.83,PASS,785.9,3619.25,FAIL,FAIL
198.0,4064.71,3483.83,PASS,784.09,3619.25,FAIL,FAIL
199.0,4062.16,3483.83,PASS,782.28,3619.25,FAIL,FAIL
200.0,4059.62,3483.83,PASS,780.48,3619.25,FAIL,FAIL
201.0,4057.08,3483.83,PASS,778.69,3619.25,FAIL,FAIL
202.0,4054.55,3483.83,PASS,776.9,3619.25,FAIL,FAIL
203.0,4052.02,3483.83,PASS,775.13,3619.25,FAIL,FAIL
204.0,4049.49,3483.83,PASS,773.36,3619.25,FAIL,FAIL
205.0,4046.97,3483.83,PASS,771.6,3619.25,FAIL,FAIL
206.0,4044.45,3483.83,PASS,769.85,3619.25,FAIL,FAIL
207.0,4041.93,3483.83,PASS,768.11,3619.25,FAIL,FAIL
208.0,4039.42,3483.83,PASS,766.37,3619.25,FAIL,FAIL
209.0,4036.91,3483.83,PASS,764.64,3619.25,FAIL,FAIL
210.0,4034.4,3483.83,PASS,762.92,3619.25,FAIL,FAIL
211.0,4031.9,3483.83,PASS,761.21,3619.25,FAIL,FAIL
212.0,4029.4,3483.83,PASS,759.51,3619.25,FAIL,FAIL
213.0,4026.9,3483.83,PASS,757.81,3619.25,FAIL,FAIL
214.0,4024.41,3483.83,PASS,756.12,3619.25,FAIL,FAIL
215.0,4021.92,3483.83,PASS,754.44,3619.25,FAIL,FAIL
216.0,4019.43,3483.83,PASS,752.77,3619.25,FAIL,FAIL
217.0,4016.95,3483.83,PASS,751.1,3619.25,FAIL,FAIL
218.0,4014.47,3483.83,PASS,749.44,3619.25,FAIL,FAIL
219.0,4012.0,3483.83,PASS,747.79,3619.25,FAIL,FAIL
220.0,4009.53,3483.83,PASS,746.15,3619.25,FAIL,FAIL
221.0,4007.06,3483.83,PASS,744.51,3619.25,FAIL,FAIL
222.0,4004.59,3483.83,PASS,742.88,3619.25,FAIL,FAIL
223.0,4002.13,3483.83,PASS,741.26,3619.25,FAIL,FAIL
224.0,3999.67,3483.83,PASS,739.64,3619.25,FAIL,FAIL
225.0,3997.21,3483.83,PASS,738.03,3619.25,FAIL,FAIL
226.0,3994.76,3483.83,PASS,736.43,3619.25,FAIL,FAIL
227.0,3992.31,3483.83,PASS,734.84,3619.25,FAIL,FAIL
228.0,3989.87,3483.83,PASS,733.25,3619.25,FAIL,FAIL
229.0,3987.43,3483.83,PASS,731.67,3619.25,FAIL,FAIL
230.0,3984.99,3483.83,PASS,730.09,3619.25,FAIL,FAIL
231.0,3982.55,3483.83,PASS,728.53,3619.25,FAIL,FAIL
232.0,3980.12,3483.83,PASS,726.97,3619.25,FAIL,FAIL
233.0,3977.69,3483.83,PASS,725.41,3619.25,FAIL,FAIL
234.0,3975.26,3483.83,PASS,723.86,3619.25,FAIL,FAIL
235.0,3972.84,3483.83,PASS,722.32,3619.25,FAIL,FAIL
236.0,3970.42,3483.83,PASS,720.79,3619.25,FAIL,FAIL
237.0,3968.01,3483.83,PASS,719.26,3619.25,FAIL,FAIL
238.0,3965.59,3483.83,PASS,717.74,3619.25,FAIL,FAIL
239.0,3963.18,3483.83,PASS,716.23,3619.25,FAIL,FAIL
240.0,3960.78,3483.83,PASS,714.72,3619.25,FAIL,FAIL
241.0,3958.37,3483.83,PASS,713.22,3619.25,FAIL,FAIL
242.0,3955.97,3483.83,PASS,711.72,3619.25,FAIL,FAIL
243.0,3953.58,3483.83,PASS,710.23,3619.25,FAIL,FAIL
244.0,3951.18,3483.83,PASS,708.75,3619.25,FAIL,FAIL
245.0,3948.79,3483.83,PASS,707.28,3619.25,FAIL,FAIL
246.0,3946.41,3483.83,PASS,705.81,3619.25,FAIL,FAIL
247.0,3944.02,3483.83,PASS,704.34,3619.25,FAIL,FAIL
248.0,3941.64,3483.83,PASS,702.88,3619.25,FAIL,FAIL
249.0,3939.26,3483.83,PASS,701.43,3619.25,FAIL,FAIL
250.0,3936.89,3483.83,PASS,699.98,3619.25,FAIL,FAIL
251.0,3934.52,3483.83,PASS,698.54,3619.25,FAIL,FAIL
252.0,3932.15,3483.83,PASS,697.11,3619.25,FAIL,FAIL
253.0,3929.78,3483.83,PASS,695.68,3619.25,FAIL,FAIL
254.0,3927.42,3483.83,PASS,694.26,3619.25,FAIL,FAIL
255.0,3925.06,3483.83,PASS,692.84,3619.25,FAIL,FAIL
256.0,3922.71,3483.83,PASS,691.43,3619.25,FAIL,FAIL
257.0,3920.36,3483.83,PASS,690.03,3619.25,FAIL,FAIL
258.0,3918.01,3483.83,PASS,688.63,3619.25,FAIL,FAIL
259.0,3915.66,3483.83,PASS,687.24,3619.25,FAIL,FAIL
260.0,3913.32,3483.83,PASS,685.85,3619.25,FAIL,FAIL
261.0,3910.98,3483.83,PASS,684.47,3619.25,FAIL,FAIL
262.0,3908.64,3483.83,PASS,683.09,3619.25,FAIL,FAIL
263.0,3906.31,3483.83,PASS,681.72,3619.25,FAIL,FAIL
264.0,3903.97,3483.83,PASS,680.35,3619.25,FAIL,FAIL
265.0,3901.65,3483.83,PASS,678.99,3619.25,FAIL,FAIL
266.0,3899.32,3483.83,PASS,677.64,3619.25,FAIL,FAIL
267.0,3897.0,3483.83,PASS,676.29,3619.25,FAIL,FAIL
268.0,3894.68,3483.83,PASS,674.94,3619.25,FAIL,FAIL
269.0,3892.37,3483.83,PASS,673.61,3619.25,FAIL,FAIL
270.0,3890.05,3483.83,PASS,672.27,3619.25,FAIL,FAIL
271.0,3887.74,3483.83,PASS,670.94,3619.25,FAIL,FAIL
272.0,3885.44,3483.83,PASS,669.62,3619.25,FAIL,FAIL
273.0,3883.13,3483.83,PASS,668.3,3619.25,FAIL,FAIL
274.0,3880.83,3483.83,PASS,666.99,3619.25,FAIL,FAIL
275.0,3878.53,3483.83,PASS,665.69,3619.25,FAIL,FAIL
276.0,3876.24,3483.83,PASS,664.38,3619.25,FAIL,FAIL
277.0,3873.95,3483.83,PASS,663.09,3619.25,FAIL,FAIL
278.0,3871.66,3483.83,PASS,661.8,3619.25,FAIL,FAIL
279.0,3869.37,3483.83,PASS,660.51,3619.25,FAIL,FAIL
280.0,3867.09,3483.83,PASS,659.23,3619.25,FAIL,FAIL
281.0,3864.81,3483.83,PASS,657.95,3619.25,FAIL,FAIL
282.0,3862.53,3483.83,PASS,656.68,3619.25,FAIL,FAIL
283.0,3860.26,3483.83,PASS,655.41,3619.25,FAIL,FAIL
284.0,3857.99,3483.83,PASS,654.15,3619.25,FAIL,FAIL
285.0,3855.72,3483.83,PASS,652.89,3619.25,FAIL,FAIL
286.0,3853.46,3483.83,PASS,651.64,3619.25,FAIL,FAIL
287.0,3851.19,3483.83,PASS,650.39,3619.25,FAIL,FAIL
288.0,3848.93,3483.83,PASS,649.15,3619.25,FAIL,FAIL
289.0,3846.68,3483.83,PASS,647.91,3619.25,FAIL,FAIL
290.0,3844.42,3483.83,PASS,646.68,3619.25,FAIL,FAIL
291.0,3842.17,3483.83,PASS,645.45,3619.25,FAIL,FAIL
292.0,3839.93,3483.83,PASS,644.23,3619.25,FAIL,FAIL
293.0,3837.68,3483.83,PASS,643.01,3619.25,FAIL,FAIL
294.0,3835.44,3483.83,PASS,641.8,3619.25,FAIL,FAIL
295.0,3833.2,3483.83,PASS,640.59,3619.25,FAIL,FAIL
296.0,3830.96,3483.83,PASS,639.38,3619.25,FAIL,FAIL
297.0,3828.73,3483.83,PASS,638.18,3619.25,FAIL,FAIL
298.0,3826.5,3483.83,PASS,636.98,3619.25,FAIL,FAIL
299.0,3824.27,3483.83,PASS,635.79,3619.25,FAIL,FAIL
300.0,3822.05,3483.83,PASS,634.6,3619.25,FAIL,FAIL
301.0,3819.82,3483.83,PASS,633.42,3619.25,FAIL,FAIL
302.0,3817.61,3483.83,PASS,632.24,3619.25,FAIL,FAIL
303.0,3815.39,3483.83,PASS,631.07,3619.25,FAIL,FAIL
304.0,3813.18,3483.83,PASS,629.9,3619.25,FAIL,FAIL
305.0,3810.96,3483.83,PASS,628.73,3619.25,FAIL,FAIL
306.0,3808.76,3483.83,PASS,627.57,3619.25,FAIL,FAIL
307.0,3806.55,3483.83,PASS,626.42,3619.25,FAIL,FAIL
308.0,3804.35,3483.83,PASS,625.26,3619.25,FAIL,FAIL
309.0,3802.15,3483.83,PASS,624.12,3619.25,FAIL,FAIL
310.0,3799.95,3483.83,PASS,622.97,3619.25,FAIL,FAIL
311.0,3797.76,3483.83,PASS,621.83,3619.25,FAIL,FAIL
312.0,3795.57,3483.83,PASS,620.7,3619.25,FAIL,FAIL
313.0,3793.38,3483.83,PASS,619.57,3619.25,FAIL,FAIL
314.0,3791.19,3483.83,PASS,618.44,3619.25,FAIL,FAIL
315.0,3789.01,3483.83,PASS,617.32,3619.25,FAIL,FAIL
316.0,3786.83,3483.83,PASS,616.2,3619.25,FAIL,FAIL
317.0,3784.65,3483.83,PASS,615.08,3619.25,FAIL,FAIL
318.0,3782.48,3483.83,PASS,613.97,3619.25,FAIL,FAIL
319.0,3780.31,3483.83,PASS,612.86,3619.25,FAIL,FAIL
320.0,3778.14,3483.83,PASS,611.76,3619.25,FAIL,FAIL
321.0,3775.97,3483.83,PASS,610.66,3619.25,FAIL,FAIL
322.0,3773.81,3483.83,PASS,609.57,3619.25,FAIL,FAIL
323.0,3771.65,3483.83,PASS,608.48,3619.25,FAIL,FAIL
324.0,3769.49,3483.83,PASS,607.39,3619.25,FAIL,FAIL
325.0,3767.33,3483.83,PASS,606.31,3619.25,FAIL,FAIL
326.0,3765.18,3483.83,PASS,605.23,3619.25,FAIL,FAIL
327.0,3763.03,3483.83,PASS,604.15,3619.25,FAIL,FAIL
328.0,3760.88,3483.83,PASS,603.08,3619.25,FAIL,FAIL
329.0,3758.74,3483.83,PASS,602.01,3619.25,FAIL,FAIL
330.0,3756.59,3483.83,PASS,600.95,3619.25,FAIL,FAIL
331.0,3754.45,3483.83,PASS,599.89,3619.25,FAIL,FAIL
332.0,3752.32,3483.83,PASS,598.83,3619.25,FAIL,FAIL
333.0,3750.18,3483.83,PASS,597.78,3619.25,FAIL,FAIL
334.0,3748.05,3483.83,PASS,596.73,3619.25,FAIL,FAIL
335.0,3745.92,3483.83,PASS,595.68,3619.25,FAIL,FAIL
336.0,3743.8,3483.83,PASS,594.64,3619.25,FAIL,FAIL
337.0,3741.67,3483.83,PASS,593.6,3619.25,FAIL,FAIL
338.0,3739.55,3483.83,PASS,592.57,3619.25,FAIL,FAIL
339.0,3737.43,3483.83,PASS,591.54,3619.25,FAIL,FAIL
340.0,3735.32,3483.83,PASS,590.51,3619.25,FAIL,FAIL
341.0,3733.2,3483.83,PASS,589.49,3619.25,FAIL,FAIL
342.0,3731.09,3483.83,PASS,588.47,3619.25,FAIL,FAIL
343.0,3728.98,3483.83,PASS,587.45,3619.25,FAIL,FAIL
344.0,3726.88,3483.83,PASS,586.44,3619.25,FAIL,FAIL
345.0,3724.78,3483.83,PASS,585.43,3619.25,FAIL,FAIL
346.0,3722.68,3483.83,PASS,584.42,3619.25,FAIL,FAIL
347.0,3720.58,3483.83,PASS,583.42,3619.25,FAIL,FAIL
348.0,3718.48,3483.83,PASS,582.42,3619.25,FAIL,FAIL
349.0,3716.39,3483.83,PASS,581.42,3619.25,FAIL,FAIL
350.0,3714.3,3483.83,PASS,580.43,3619.25,FAIL,FAIL
351.0,3712.21,3483.83,PASS,579.44,3619.25,FAIL,FAIL
352.0,3710.13,3483.83,PASS,578.46,3619.25,FAIL,FAIL
353.0,3708.05,3483.83,PASS,577.48,3619.25,FAIL,FAIL
354.0,3705.97,3483.83,PASS,576.5,3619.25,FAIL,FAIL
355.0,3703.89,3483.83,PASS,575.52,3619.25,FAIL,FAIL
