CP_Weight(kg),KS_Avail(m/s),KS_Req(m/s),KS_Pass,DSPS_Avail(m/s),DSPS_Req(m/s),DSPS_Pass,Mission_Success
369.0,3675.07,3483.83,PASS,562.2,3619.25,FAIL,FAIL
370.0,3673.03,3483.83,PASS,561.28,3619.25,FAIL,FAIL
371.0,3670.99,3483.83,PASS,560.35,3619.25,FAIL,FAIL
372.0,3668.96,3483.83,PASS,559.43,3619.25,FAIL,FAIL
373.0,3666.93,3483.83,PASS,558.51,3619.25,FAIL,FAIL
374.0,3664.9,3483.83,PASS,557.6,3619.25,FAIL,FAIL
375.0,3662.87,3483.83,PASS,556.68,3619.25,FAIL,FAIL
376.0,3660.85,3483.83,PASS,555.77,3619.25,FAIL,FAIL
377.0,3658.82,3483.83,PASS,554.87,3619.25,FAIL,FAIL
378.0,3656.8,3483.83,PASS,553.96,3619.25,FAIL,FAIL
379.0,3654.79,3483.83,PASS,553.06,3619.25,FAIL,FAIL
380.0,3652.77,3483.83,PASS,552.17,3619.25,FAIL,FAIL
381.0,3650.76,3483.83,PASS,551.27,3619.25,FAIL,FAIL
382.0,3648.75,3483.83,PASS,550.38,3619.25,FAIL,FAIL
383.0,3646.74,3483.83,PASS,549.49,3619.25,FAIL,FAIL
384.0,3644.73,3483.83,PASS,548.6,3619.25,FAIL,FAIL
385.0,3642.73,3483.83,PASS,547.72,3619.25,FAIL,FAIL
386.0,3640.73,3483.83,PASS,546.84,3619.25,FAIL,FAIL
387.0,3638.73,3483.83,PASS,545.96,3619.25,FAIL,FAIL
388.0,3636.73,3483.83,PASS,545.09,3619.25,FAIL,FAIL
389.0,3634.74,3483.83,PASS,544.22,3619.25,FAIL,FAIL
390.0,3632.75,3483.83,PASS,543.35,3619.25,FAIL,FAIL
391.0,3630.76,3483.83,PASS,542.48,3619.25,FAIL,FAIL
392.0,3628.77,3483.83,PASS,541.62,3619.25,FAIL,FAIL
393.0,3626.79,3483.83,PASS,540.76,3619.25,FAIL,FAIL
394.0,3624.81,3483.83,PASS,539.9,3619.25,FAIL,FAIL
395.0,3622.83,3483.83,PASS,539.04,3619.25,FAIL,FAIL
396.0,3620.85,3483.83,PASS,538.19,3619.25,FAIL,FAIL
397.0,3618.88,3483.83,PASS,537.34,3619.25,FAIL,FAIL
398.0,3616.9,3483.83,PASS,536.49,3619.25,FAIL,FAIL
399.0,3614.93,3483.83,PASS,535.65,3619.25,FAIL,FAIL
400.0,3612.97,3483.83,PASS,534.81,3619.25,FAIL,FAIL
